,PredictedValueExtensiveModel
1539,1487757.1
1540,20587.86
1541,-64049.227
1542,2290906.5
1543,353947.56
1544,1495595.5
1548,1800503.5
1549,620562.8
1550,438597.62
1551,869872.44
1552,404439.88
1553,483802.7
1554,561734.7
1555,-30770.775
1556,289816.5
1557,-589989.8
1558,1873202.0
1559,43451.703
1560,-432455.38
1561,887429.25
1562,4817437.0
1563,506187.5
1564,1333584.0
1565,1018650.1
1566,762133.4
1567,369454.2
1569,-105874.65
1570,6157970.5
1571,1606023.2
1572,-1650112.6
1573,5710169.0
1574,742875.0
1579,840856.3
1580,49697.555
1581,274558.12
1582,-357361.3
1583,-441208.2
1584,254156.05
1585,-415418.94
1586,-269399.06
1587,54184.094
1588,403783.0
1589,-357611.5
1590,472542.75
1591,595483.94
1592,1412903.2
1594,1626770.8
1595,642998.5
1596,1269997.8
1597,1526688.1
1598,-1887367.6
1599,772750.94
1601,1241309.4
1602,2274512.8
1603,526400.44
1604,1181488.2
1605,-425467.16
1606,487836.84
1607,281981.0
1611,1366170.4
1612,682234.7
1613,1111203.0
1614,1206621.9
1615,3722252.5
1616,-399763.56
1617,155030.44
1618,1465384.9
1619,627977.44
1620,3652453.8
1621,360959.53
1622,473136.8
1623,14965.646
1625,279376.6
1626,4509810.0
1627,1438585.4
1628,787840.7
1629,2030382.8
1630,742875.0
1631,6095368.5
1632,1496765.6
1633,213010.8
1634,108869.055
1639,421514.44
1640,1607737.1
1641,4364417.5
1642,3025389.0
1643,482378.06
1644,304998.38
1646,7130031.0
1647,-34274.63
1648,1157705.5
1649,-347918.88
1650,-382988.38
1651,1823245.1
1652,1283848.0
1653,934809.75
1654,9137945.0
1655,3417013.5
1656,117135.62
1659,2172570.8
1660,938135.3
1661,281981.0
1662,1286272.9
1663,540702.44
1664,-70814.66
1665,770793.1
1666,1434848.0
1670,1733032.1
1671,938220.5
1672,-156533.83
1673,889771.6
1674,710846.06
1675,744416.06
1677,794451.4
1678,317921.25
1679,1489029.0
1680,-602963.9
1683,876948.0
1684,115218.13
1685,210874.69
1686,-124002.02
1687,406746.0
1688,89563.32
1689,121882.76
1690,680493.4
1691,1904717.9
1692,672949.0
1693,6676612.5
1694,1606530.8
1695,434915.3
1700,869872.44
1701,1608771.0
1702,558445.4
1703,-270448.66
1704,828707.4
1705,-650509.1
1706,985523.6
1707,236528.7
1708,617985.94
1709,-232130.47
1710,953466.56
1711,1273832.0
1712,139002.03
1713,-5600.7725
1714,-465424.72
1715,647200.1
1716,4083326.5
1717,1075523.2
1718,-77730.0
1719,511989.5
1720,1444488.1
1721,-706393.06
1726,855623.8
1727,-1340122.4
1728,-246830.7
1729,753308.56
1730,180233.36
1731,610884.44
1732,183067.56
1733,1413536.9
1734,39841.07
1735,-281705.47
1736,1453888.5
1737,1318521.8
1738,919031.4
1739,202311.8
1740,189198.45
1741,-152508.0
1744,704769.06
1745,1159675.8
1746,1466444.2
1747,905944.4
1748,568475.0
1749,39794.6
1754,1354591.1
1755,1868133.4
1756,1264737.9
