,PredictedValueSimpleModel
9492,999805.06
9493,568404.75
9494,443240.9
9518,3856909.0
9519,931642.25
9520,207946.64
9521,249878.95
9546,2169077.8
9547,921573.44
9548,536826.9
9549,471533.47
9576,1574591.6
9577,855845.44
9578,386002.4
9579,207946.64
9600,2036781.2
9601,1143941.4
9602,230464.61
9603,894596.5
9604,207946.64
9628,4876442.5
9629,676897.06
9630,635983.0
9654,976979.4
9655,895877.1
9656,83825.55
9683,1638442.9
9684,556131.4
9685,-4829.586
9709,2918863.2
9710,710049.0
9711,720546.25
9712,47710.8
9736,1551143.5
9737,845885.0
9738,743433.06
9739,343385.7
9760,668709.1
9761,826494.3
9762,38991.387
9790,544491.44
9791,419564.12
9792,-31071.184
9818,907588.94
9819,89695.266
9820,207946.64
9850,637433.8
9851,757021.7
9852,505277.88
9853,443240.9
9878,1022677.7
9879,665329.5
9880,79905.44
9881,207946.64
9908,724180.94
9909,1093243.1
9910,421702.25
9911,-4829.586
9936,1810466.8
9937,1146923.9
9938,559106.94
9965,11484074.0
9966,335774.53
9967,503921.4
9993,12452681.0
9994,457413.44
9995,333162.25
9996,139967.28
10025,4799891.0
10026,1208487.4
10027,404677.72
10028,381836.56
10054,1067984.6
10055,930894.7
10056,21380.322
10057,180185.44
10083,369289.7
10084,436459.47
10085,699067.5
10114,622097.8
10115,538784.4
10116,185310.75
10142,1524147.5
10143,180365.89
10144,223915.52
10145,123680.62
10172,981546.1
10173,91820.43
10174,623424.5
10175,161540.95
10176,130425.125
10205,1382949.0
10206,387629.28
10207,198571.95
10208,263940.88
10234,798297.7
10235,196293.62
10236,152804.73
10264,1184525.1
10265,400896.6
10266,135238.12
10267,279676.94
10295,855049.25
10296,846234.0
10297,21380.322
10298,192708.9
10326,537180.25
10327,21380.322
10328,143733.66
10329,7085.4023
10353,400534.75
10354,180006.4
10355,14483.56
10356,354897.75
10379,503715.7
10380,222310.03
10381,372673.4
10382,-11758.044
10413,2970192.5
10414,408141.66
10415,92020.805
10416,528230.44
10439,402272.5
10440,240267.9
10451,328722.9
10458,346897.53
10459,438172.6
10460,103735.27
10461,-4446.717
10492,193858.02
10493,54573.285
10494,-30688.312
10495,305.56598
10525,360068.25
10526,139632.39
10527,237084.34
10557,205873.45
10558,90856.805
10559,-11343.478
10588,387802.75
10589,173778.64
10590,-4906.39
10619,191749.42
10620,-11343.478
10621,37546.953
10622,305.56598
10649,173256.27
10650,139950.33
10651,52833.598
10677,243292.56
10678,-37585.082
10679,164856.25
10680,80288.336
10708,218345.17
10709,205323.39
10710,104598.1
10743,234309.72
10744,148006.47
10745,118398.695
10746,218345.17
10747,1762.8225
10777,136792.44
10778,130986.13
10779,11067.675
10780,2222.4963
10781,-7308.984
10811,232988.39
10812,214706.25
10813,-11343.478
10837,70386.87
