,PredictedValueXGB
1629,820804.0
1630,556351.0
1631,6432089.5
1632,577465.2
1633,932811.6
1634,1127860.0
1639,1034891.7
1640,540252.4
1641,4324478.0
1642,3156557.5
1643,561617.06
1644,572201.25
1645,473618.72
1646,3330907.8
1647,540252.4
1648,570225.3
1649,582731.25
1650,582731.25
1651,564959.25
1652,582731.25
1653,608626.56
1654,3617903.0
1655,1356541.8
1656,540252.4
1657,1084193.0
1658,531644.1
1659,552758.3
1660,540252.4
1661,540252.4
1662,923970.44
1663,616040.4
1664,540252.4
1665,570225.3
1666,891339.75
1670,777658.5
1671,722460.25
1672,451501.06
1673,585231.7
1674,568712.25
1675,570225.3
1676,570225.3
1677,1689250.6
1678,585231.7
1679,540252.4
1680,1138194.6
1681,552758.3
1682,561617.06
1683,947417.7
1684,540252.4
1685,1089459.0
1686,2291307.8
1687,540252.4
1688,877332.44
1689,627675.4
1690,540252.4
1691,1255103.5
1692,993253.9
1693,1623675.9
1694,2334595.5
1695,552758.3
1700,564959.25
1701,3009941.8
1702,564959.25
1703,522234.97
1704,733413.06
1705,593623.75
1706,570225.3
1707,1026574.25
1708,835810.3
1709,478884.8
1710,564959.25
1711,1204010.8
1712,3497213.5
1713,1182283.4
1714,414801.78
1715,560639.8
1716,801580.94
1717,1048629.2
1718,552758.3
1719,2047833.4
1720,631295.75
1721,414801.78
1722,540252.4
1726,540252.4
1727,986525.5
1728,421528.2
1729,835810.3
1730,531644.1
1731,2390416.2
1732,1011247.44
1733,1308661.2
1734,552758.3
1735,1127860.0
1736,570225.3
1737,542160.5
1738,820804.0
1739,2395884.5
1740,1342214.8
1741,540252.4
1742,531644.1
1743,531644.1
1744,540252.4
1745,2364478.8
1746,1221394.0
1747,570340.44
1748,876633.44
1749,540252.4
1750,795237.06
1754,847265.25
1755,570225.3
1756,570225.3
1757,776078.06
1758,577465.2
1759,795237.06
1760,597737.6
1761,597737.6
1762,448911.88
1763,414801.78
1764,558024.4
1765,552758.3
1766,941653.4
1767,531644.1
1768,540252.4
1769,559447.8
1770,552758.3
1771,570340.44
1772,552758.3
1773,540252.4
1774,777658.5
1775,552758.3
1776,552758.3
1777,556351.0
1781,975478.1
1782,522234.97
1783,552758.3
1784,2287058.2
1785,552207.94
1786,747197.4
1787,459896.12
1788,561617.06
1789,439181.66
1790,534740.94
1791,2127738.0
1792,631811.9
1793,762796.3
1794,552758.3
1795,414801.78
1796,540252.4
1797,661536.75
1798,558024.4
1799,1089459.0
1800,2666527.0
1801,570225.3
1802,570225.3
1803,2795546.2
1804,439181.66
1805,582731.25
1806,552207.94
1807,616040.4
1812,1180309.2
1813,540252.4
1814,540252.4
1815,731068.5
1816,540252.4
1817,540252.4
1818,414801.78
1819,540252.4
1820,552758.3
1821,540252.4
1822,540252.4
1823,540252.4
1824,739937.94
1825,1798297.8
1826,570225.3
1827,540252.4
1828,522234.97
1829,540252.4
1830,540252.4
1831,570340.44
1832,552758.3
1833,564959.25
1837,1399568.2
1838,570225.3
1839,570225.3
1840,564959.25
1841,443647.88
1842,582677.8
1843,564959.25
1844,585231.7
1845,796541.06
1846,540252.4
1847,552758.3
1848,540252.4
1849,552758.3
1850,540252.4
1851,540252.4
1852,522234.97
1853,570225.3
1854,570225.3
1855,1210833.1
1856,561617.06
1857,564959.25
1858,540252.4
1859,833911.94
1860,715820.56
1861,540252.4
1862,570225.3
1867,941653.4
1868,552758.3
1869,540252.4
1870,552758.3
1871,517795.72
1872,473620.8
1873,775661.56
1874,674990.6
1875,540252.4
1876,546020.8
1877,540252.4
1878,564713.9
1879,552758.3
1880,2397416.5
1881,540252.4
1882,574123.0
1883,1338536.9
1884,1173229.1
1885,1736334.4
1886,444774.66
1887,522234.97
1888,540252.4
1889,1138194.6
1890,735167.7
1891,886363.9
1892,582731.25
1897,484276.03
1898,446235.0
1899,439181.66
1900,540252.4
1901,540252.4
1902,1424599.6
1903,540252.4
1904,570225.3
1905,546941.9
1906,616690.4
1907,753504.6
1908,820804.0
1909,570225.3
1910,540252.4
1911,1149531.5
1912,540252.4
1913,560524.7
1914,540252.4
1915,570225.3
1916,1347284.2
1917,556351.0
1918,822090.44
1919,1035298.6
1920,570225.3
1921,540252.4
1922,446235.0
1927,552758.3
1928,439181.66
1929,1806696.2
1930,414801.78
1931,2225550.5
1932,585231.7
1933,559447.8
1934,540252.4
1935,847527.3
1936,585231.7
1937,540252.4
1938,731183.7
1939,1256853.8
1940,552758.3
1942,824713.75
1943,552758.3
1944,540252.4
1945,1035006.94
1946,570225.3
1947,540252.4
1948,777496.1
1949,414801.78
1950,570340.44
1955,931207.56
1956,1945121.4
1957,585346.8
1958,540252.4
1959,570225.3
1960,540252.4
1961,439508.6
1962,540252.4
1963,570225.3
1964,531644.1
1965,570225.3
1966,577465.2
1967,540252.4
1968,1089459.0
1969,552758.3
1970,545518.44
1971,570225.3
1972,820624.6
1973,540252.4
1974,570225.3
1975,540252.4
1976,820804.0
1977,564959.25
1978,540252.4
1979,540252.4
1980,570225.3
1981,544162.1
1982,540252.4
1983,1506782.8
1984,552758.3
1988,2399097.0
1989,534740.94
1990,522234.97
1991,421528.2
1992,531644.1
1993,564959.25
1994,552758.3
1995,531644.1
1996,2214834.5
1997,552758.3
1998,2077999.9
1999,547494.4
2000,564959.25
2001,540252.4
2002,2877615.0
2003,540252.4
2004,1394425.5
2005,926305.44
2006,627560.2
2007,4333025.0
2008,540252.4
2009,552758.3
2010,522234.97
2011,414801.78
2012,546020.8
2013,478884.8
2014,681673.25
2019,540252.4
2020,540252.4
2021,564713.9
2022,540252.4
2023,671217.75
2024,2768329.5
2025,570225.3
2026,976767.2
2027,540252.4
2028,574135.06
2029,531644.1
2030,547494.4
2031,552758.3
2032,552207.94
2033,547494.4
2034,627560.2
2035,531644.1
2036,522234.97
2037,844620.75
2038,622965.9
2039,540252.4
2040,540252.4
2041,835925.5
2048,2606329.2
2049,592326.8
2050,418170.25
2051,536894.44
2053,2256118.5
2054,532661.06
2055,921012.94
2056,536894.44
2058,549400.4
2059,549400.4
2060,893561.75
2061,583718.56
2062,615721.7
