,LeagueCountry,NationalLeagueLevel,InternationalTeam,League,Club,Age,ClubSince,ActiveInternational,FormerInternational,InternationalGames,Trending,Value
1198,Deutschland,1.Liga,Deutschland U21,Bundesliga,SC Freiburg,20.0,685.0,1,0,6.0,1,2000000.0
1199,Deutschland,1.Liga,,Bundesliga,SC Freiburg,29.0,1015.0,0,0,0.0,0,500000.0
1223,Deutschland,1.Liga,Deutschland,Bundesliga,TSG Hoffenheim,32.0,3242.0,0,0,0.0,0,4500000.0
1224,Deutschland,1.Liga,,Bundesliga,TSG Hoffenheim,38.0,1416.0,0,0,0.0,0,300000.0
1225,Deutschland,1.Liga,Deutschland U21,Bundesliga,TSG Hoffenheim,22.0,1020.0,0,0,4.0,1,300000.0
1226,Deutschland,1.Liga,Deutschland U20,Bundesliga,TSG Hoffenheim,20.0,685.0,1,0,3.0,1,250000.0
1254,Deutschland,1.Liga,Dänemark,Bundesliga,Union Berlin,30.0,666.0,1,0,8.0,1,3500000.0
1255,Deutschland,1.Liga,Deutschland U21,Bundesliga,Union Berlin,24.0,320.0,0,1,7.0,0,1000000.0
1256,Deutschland,1.Liga,Dänemark U21,Bundesliga,Union Berlin,29.0,2679.0,0,1,17.0,0,250000.0
1281,Deutschland,1.Liga,Polen,Bundesliga,FC Augsburg,35.0,1050.0,0,1,0.0,0,1200000.0
1282,Deutschland,1.Liga,Tschechien,Bundesliga,FC Augsburg,30.0,1380.0,0,0,12.0,0,1000000.0
1283,Deutschland,1.Liga,Deutschland U19,Bundesliga,FC Augsburg,22.0,684.0,0,1,2.0,1,300000.0
1284,Deutschland,1.Liga,,Bundesliga,FC Augsburg,24.0,1666.0,0,0,0.0,0,150000.0
1313,Deutschland,1.Liga,Deutschland U21,Bundesliga,VfB Stuttgart,25.0,685.0,0,1,2.0,0,1500000.0
1314,Deutschland,1.Liga,Deutschland U20,Bundesliga,VfB Stuttgart,28.0,1416.0,0,1,5.0,1,1500000.0
1315,Deutschland,1.Liga,,Bundesliga,VfB Stuttgart,21.0,617.0,0,0,0.0,1,200000.0
1342,Deutschland,1.Liga,Deutschland U17,Bundesliga,1.FSV Mainz 05,28.0,3242.0,0,1,1.0,1,5000000.0
1343,Deutschland,1.Liga,Deutschland U21,Bundesliga,1.FSV Mainz 05,25.0,1781.0,0,1,8.0,0,1000000.0
1344,Deutschland,1.Liga,,Bundesliga,1.FSV Mainz 05,21.0,685.0,0,0,0.0,1,200000.0
1369,Deutschland,1.Liga,Deutschland U21,Bundesliga,1.FC Köln,28.0,685.0,0,1,4.0,1,5000000.0
1370,Deutschland,1.Liga,Deutschland U21,Bundesliga,1.FC Köln,30.0,4338.0,0,1,4.0,0,1500000.0
1371,Deutschland,4.Liga,,Regionalliga West,1.FC Köln II,22.0,122.0,0,0,0.0,1,100000.0
1372,Deutschland,1.Liga,Deutschland U15,Bundesliga,1.FC Köln,25.0,435.0,0,1,3.0,0,25000.0
1403,Deutschland,1.Liga,Dänemark,Bundesliga,Hertha BSC,24.0,629.0,0,0,1.0,1,4500000.0
1404,Deutschland,1.Liga,Deutschland U20,Bundesliga,Hertha BSC,20.0,258.0,0,0,1.0,1,400000.0
1405,Deutschland,1.Liga,Norwegen,Bundesliga,Hertha BSC,38.0,3423.0,0,1,72.0,0,300000.0
1432,Deutschland,1.Liga,Tschechien,Bundesliga,Werder Bremen,31.0,2146.0,1,0,18.0,0,3000000.0
1433,Deutschland,1.Liga,Deutschland U21,Bundesliga,Werder Bremen,27.0,3032.0,0,1,1.0,0,500000.0
1434,Deutschland,Jugendliga,Deutschland U19,U19-BL N/NO,W. Bremen U19,19.0,685.0,0,0,2.0,1,300000.0
1435,Deutschland,1.Liga,,Bundesliga,Werder Bremen,24.0,1050.0,0,0,0.0,0,200000.0
1436,Deutschland,4.Liga,Deutschland U18,Regionalliga Nord,W. Bremen II,19.0,685.0,0,1,1.0,1,150000.0
1458,Deutschland,1.Liga,Deutschland U20,Bundesliga,FC Schalke 04,30.0,320.0,0,1,7.0,0,900000.0
1459,Deutschland,1.Liga,Deutschland U21,Bundesliga,FC Schalke 04,34.0,4338.0,0,1,1.0,0,400000.0
1460,Deutschland,1.Liga,,Bundesliga,FC Schalke 04,22.0,320.0,0,0,0.0,1,250000.0
1461,Deutschland,1.Liga,Österreich U21,Bundesliga,FC Schalke 04,38.0,2112.0,0,1,1.0,0,50000.0
1490,Deutschland,1.Liga,Deutschland U17,Bundesliga,VfL Bochum,34.0,2877.0,0,1,0.0,1,1200000.0
1491,Deutschland,1.Liga,Schweden U21,Bundesliga,VfL Bochum,24.0,258.0,0,1,1.0,0,500000.0
1492,Deutschland,1.Liga,,Bundesliga,VfL Bochum,35.0,685.0,0,0,0.0,0,400000.0
