,0
10659,73246.42
10660,25119.002
10685,500094.78
10686,100890.72
10687,23895.58
10688,19782.74
10715,149571.17
10716,152068.22
10717,109722.92
10749,203272.0
10750,124953.18
10751,48592.312
10752,23771.812
10753,22949.965
10782,351491.0
10783,77040.56
10784,50876.375
10786,43441.74
10816,199766.84
10817,98789.336
10818,22397.672
10842,199480.8
10843,49440.863
10844,21822.023
10845,25021.652
10869,176622.89
10870,100835.97
10871,25908.115
10872,23427.64
10899,149200.38
10900,76229.055
10901,46778.09
10930,243402.0
10931,53158.387
10932,20425.793
10958,223029.02
10959,149793.08
10960,39354.76
10985,78185.32
10986,24460.52
10995,27450.799
11005,4995235.5
11006,2003640.1
11007,605840.9
11008,297480.9
11035,8998726.0
11036,397273.72
11063,5998316.5
11064,494915.66
11089,4996854.5
11090,2500741.0
11091,254873.14
11115,2500521.2
11116,2002132.4
11117,139793.39
11118,93420.94
11140,1499053.4
11141,407573.97
11142,114355.695
11164,3502331.2
11165,391027.66
11166,198768.61
11189,1498554.2
11190,693384.1
11191,102095.945
11192,51639.934
11214,2500481.2
11215,508877.03
11216,99042.08
11237,900366.94
11238,494186.7
11239,52669.4
11259,1299361.8
11260,353021.84
11261,104636.8
11286,1005143.75
11287,310081.84
11288,42349.273
11316,598772.94
11317,599519.1
11318,96577.45
11348,577227.75
11350,63444.184
11376,597723.25
11377,398052.2
11380,46065.19
11407,346154.2
11408,99861.84
11409,54508.625
11437,1501147.0
11438,301280.7
11439,92704.195
11460,899606.7
11461,248858.17
11462,100062.85
11488,500997.4
11489,92713.984
11490,17085.229
11519,249619.02
11520,199980.19
11521,49683.94
11547,349235.84
11548,153839.78
11549,80403.74
11575,99950.11
11576,51476.58
11599,304007.16
11600,149698.36
11601,102520.59
11625,101427.414
11626,97289.086
11627,52273.277
11647,202313.83
11649,45761.76
11650,51558.61
11674,151538.0
11675,101637.7
11702,245104.2
11703,102928.125
11704,20204.984
11732,302915.0
11733,98796.875
11764,398538.4
11766,95543.266
11790,299847.97
11791,35237.863
11817,1202672.4
11818,499340.62
11819,401396.25
11840,2797869.5
11841,1998696.9
11842,106811.65
11866,897979.6
11867,603496.1
11868,254144.67
11889,2001333.2
11890,495715.53
11915,15003408.0
11916,608526.9
11938,2502040.0
11939,1999483.2
11940,503539.78
11941,246913.97
11967,801074.25
11968,307167.9
11991,1503402.9
11992,597363.3
11993,192418.7
12016,799753.3
12017,504031.38
12018,391700.25
12041,500803.5
12042,404049.47
12071,1799018.1
12072,195691.7
12073,101545.055
12099,805032.94
12100,398464.06
12101,405327.62
12124,606126.0
12125,599761.8
12126,257109.52
12150,599218.0
12151,299663.8
12177,499668.5
12178,501133.47
12179,101559.78
12206,601260.56
12207,403064.16
12231,801091.56
12232,398891.28
12233,166948.5
12264,898995.5
12265,110313.95
12266,59987.465
12292,296840.78
12293,272678.88
12294,254624.72
12319,224855.48
12320,200278.42
12321,146690.5
12352,597839.6
12353,500890.9
12354,155357.9
12376,448352.7
12377,252356.28
12378,150434.95
12403,501262.78
12404,396982.25
12405,22585.844
12425,298830.22
12426,143419.28
12427,60941.543
12453,304806.06
12454,205545.61
12455,126800.83
12456,55480.09
12479,609548.44
12480,131365.1
12481,68604.19
12501,399332.28
12502,239131.72
12526,258492.8
12527,193866.03
12528,24694.57
12555,299691.75
12556,201706.0
12557,99412.41
12581,448854.38
12582,252704.31
12583,67781.82
12607,225959.16
12608,194079.38
12634,357018.62
12635,195606.25
12657,399431.06
12658,297301.1
12659,155485.55
12683,173630.5
12684,166010.05
12685,40354.73
12686,47439.43
12715,1501697.4
12716,1002527.2
12717,314242.75
12744,1995170.0
12745,444664.16
12746,190574.8
12774,1998502.4
12775,1800125.1
12776,202277.12
12805,1502639.0
12806,502741.2
12866,204389.53
12896,603417.25
12897,155088.84
12922,997094.6
12924,304744.16
12953,343522.62
12955,245953.23
12985,200813.25
12986,154403.95
13015,394065.22
13016,300898.78
13017,152861.67
13018,67689.33
13048,497812.53
13049,404154.94
13081,396434.84
13083,147334.44
13106,444279.88
13107,344080.0
13165,251465.16
13199,361536.7
13229,98111.93
13254,173252.48
13255,106456.54
13280,150869.22
13282,79117.08
13406,102135.86
13436,48774.15
13469,195228.2
13609,200830.92
13662,148545.86
13855,79594.71
13856,20052.45
13912,69419.91
13933,25739.604
13954,19815.926
13970,399496.06
13971,392681.38
13972,351677.8
14002,1698089.9
14003,800735.6
14004,640897.9
14028,548175.9
14029,450538.94
14030,195189.61
14057,244152.98
14058,152223.86
14082,1301022.1
14083,448694.66
14084,349685.1
14106,353451.22
14107,228677.16
14108,55695.33
14133,597840.56
14134,147689.11
14162,356011.12
14163,84016.3
14185,400814.88
14186,94157.78
14211,322950.25
14212,250742.36
14234,397463.44
14261,377778.06
14262,153462.62
14310,100136.39
14311,97244.37
14312,100006.586
14338,156146.95
14356,352364.2
14455,196828.83
14502,200411.22
14503,126251.84
14525,18000518.0
14526,2501614.0
14527,499887.94
14528,403871.6
14556,9998454.0
14557,1999037.2
14558,999726.94
14586,1000531.44
14587,197840.88
14615,1499223.0
14616,252023.77
14617,203794.14
14618,188573.7
14619,95743.45
14645,297965.66
14646,152436.02
14675,797208.8
14676,98359.445
14677,52899.727
14702,702758.5
14703,198442.67
14704,197563.44
14726,303491.0
14727,103052.15
14728,101437.586
14751,299962.5
14752,102833.055
14753,42253.63
14778,601187.06
14779,146264.92
14780,98782.82
14781,56481.715
14806,404223.56
14807,145769.88
14808,48699.28
14833,198764.6
14834,99193.29
14860,299619.06
14861,48246.82
14862,74605.81
14882,300651.72
14883,99622.984
14884,64180.688
14908,298570.62
14909,148225.73
14910,32883.516
14935,197892.27
14936,101783.24
14937,48098.97
14961,8002600.0
14962,699859.3
14963,25670.422
14987,800733.9
14988,500782.16
14989,310202.8
15016,4001829.0
15017,499953.84
15018,407616.06
15019,53271.426
15046,796973.6
15047,305780.03
15048,29228.283
15075,1194470.5
15076,51422.008
15109,994597.5
15110,752751.06
15111,49874.684
15112,27445.71
15144,498245.66
15145,299576.03
15146,54851.855
15177,350044.28
15178,25822.158
15211,1502261.6
15212,283606.72
15213,36247.785
15240,549694.6
15241,297357.03
15270,605515.06
15271,98375.33
15272,36223.066
15299,395824.97
15300,304008.78
15303,26522.996
15337,401260.53
15338,339641.66
15341,24962.293
15372,102390.7
15373,76253.81
15399,498526.03
15427,605272.3
15428,196103.44
15429,31047.348
15453,350686.25
15454,208813.28
15455,152449.16
15456,50904.87
15483,348243.0
15484,148002.6
15486,20989.904
15511,5000009.5
15512,495038.3
15513,202465.89
15539,2000176.0
15541,49111.445
15565,700054.5
15566,597678.7
15593,500270.34
15621,992557.75
15622,403885.72
15623,348282.4
15647,407190.1
15648,199436.3
15670,1001498.1
15695,150242.66
15718,394517.9
15745,204000.03
15768,998052.3
15769,352701.88
15770,197902.53
15792,190349.12
15821,13999644.0
15822,1503552.6
15823,197750.08
15844,1500169.9
15845,546430.44
15846,404061.2
15847,54241.777
15874,1992971.5
15876,139021.19
15909,395800.28
