,PredictedValueSimpleModel
1653,466166.75
1654,-362276.9
1655,672636.6
1656,351291.9
1657,49399.92
1658,247238.94
1659,716748.0
1660,544628.7
1661,544628.7
1662,1180372.8
1663,192992.4
1664,664168.7
1665,420182.66
1666,709329.1
1670,704816.8
1671,429449.03
1672,-30891.453
1673,380541.34
1674,-47065.938
1675,458325.8
1676,265867.8
1677,150482.98
1678,288845.4
1679,351291.9
1680,1095256.0
1681,475602.88
1682,247238.94
1683,525590.25
1684,321860.34
1685,49399.92
1686,3819939.0
1687,399979.12
1688,689125.6
1689,725529.44
1690,352170.9
1691,691853.9
1692,890888.2
1693,1739730.9
1694,545011.2
1695,610073.5
1700,351291.9
1701,1091848.0
1702,768414.3
1703,346192.53
1704,2252808.5
1705,-444705.38
1706,542111.3
1707,387244.53
1708,159474.19
1709,323547.5
1710,351291.9
1711,983513.5
1712,629341.25
1713,332429.25
1714,-30891.453
1715,429228.56
1716,1002923.5
1717,582896.44
1718,573925.2
1719,506226.7
1720,1803532.5
1721,12343.221
1722,544628.7
1726,514318.28
1727,-959848.1
1728,-30891.453
1729,412740.1
1730,124101.734
1731,941025.3
1732,344825.38
1733,1780539.0
1734,449487.25
1735,-13046.352
1736,633807.06
1737,109382.14
1738,293251.34
1739,2562507.2
1740,354745.94
1741,351291.9
1742,-6540.94
1743,247238.94
1744,331967.44
1745,969068.2
1746,1323926.1
1747,1019123.3
1748,815372.75
1749,420182.66
1750,354252.94
1754,782630.94
1755,342365.1
1756,514318.28
1757,-70840.06
1758,648216.56
1759,193666.36
1760,605614.5
1761,1103975.5
1762,258149.66
1763,-56547.445
1764,475602.88
1765,668060.75
1766,983513.5
1767,-6540.94
1768,563005.5
1769,584770.56
1770,589869.9
1771,583208.75
1772,573925.2
1773,390751.1
1774,773707.56
1775,573925.2
1776,773099.8
1777,62349.777
1781,653898.1
1782,346192.53
1783,541182.7
1784,1438767.0
1785,346192.53
1786,-204142.4
1787,-27297.992
1788,124101.734
1789,48414.617
1790,444387.8
1791,1013572.8
1792,-484235.34
1793,654797.56
1794,704209.06
1795,-92695.766
1796,514318.28
1797,-17816.512
1798,758492.4
1799,118290.6
1800,483518.62
1801,583208.75
1802,267613.8
1803,600746.06
1804,173297.75
1805,773099.8
1806,415083.28
1807,91599.22
1812,1447651.5
1813,514318.28
1814,514318.28
1815,656638.7
1816,514318.28
1817,351291.9
1818,-56547.445
1819,295299.44
1820,704209.06
1821,351291.9
1822,514318.28
1823,108571.86
1824,806547.94
1825,583567.5
1826,563005.5
1827,331967.44
1828,415083.28
1829,583208.75
1830,583208.75
1831,702697.75
1832,610073.5
1833,583208.75
1837,193028.75
1838,1691546.2
1839,654596.2
1840,312711.72
1841,131997.52
1842,409754.1
1843,514318.28
1844,487575.25
1845,790536.8
1846,422622.6
1847,505034.44
1848,514318.28
1849,704209.06
1850,351291.9
1851,321860.34
1852,346192.53
1853,399797.0
1854,519003.28
1855,517886.62
1856,345379.22
1857,583208.75
1858,544628.7
1859,730226.75
1860,226708.08
1861,583208.75
1862,449432.1
1867,1012944.94
1868,668060.75
1869,351291.9
1870,505034.44
1871,502065.25
1872,588199.2
1873,69404.414
1874,656638.7
1875,351291.9
1876,89277.4
1877,351291.9
1878,565332.7
1879,704209.06
1880,2152462.0
1881,321860.34
1882,400981.94
1883,880544.44
1884,1758579.4
1885,1133106.6
1886,229460.75
1887,415083.28
1888,420182.66
1889,1413840.1
1890,449432.1
1891,333358.78
1892,610073.5
1897,133656.58
1898,379270.88
1899,104407.125
1900,351291.9
1901,458325.8
1902,390815.97
1903,295299.44
1904,221015.66
1905,417523.16
1906,-247295.06
1907,889608.2
1908,159474.19
1909,321860.34
1910,541908.5
1911,-158270.84
1912,312711.72
1913,543567.8
1914,583208.75
1915,380875.66
1916,741527.25
1917,316129.78
1918,179163.2
1919,610681.25
1920,949862.7
1921,420182.66
1922,622668.1
1927,668060.75
1928,104407.125
1929,1811649.6
1930,-56547.445
1931,718949.5
1932,324548.88
1933,444387.8
1934,422622.6
1935,894707.7
1936,543567.8
1937,514318.28
1938,299579.62
1939,924293.1
1940,716748.0
1942,199115.5
1943,736951.5
1944,583208.75
1945,351893.47
1946,420182.66
1947,583208.75
1948,686949.2
1949,175369.52
1950,583208.75
1955,573430.44
1956,307690.25
1957,380541.34
1958,475738.03
1959,604557.6
1960,108571.86
1961,249964.62
1962,514318.28
1963,514318.28
1964,247238.94
1965,1001415.44
1966,648216.56
1967,221015.66
1968,-2105458.2
1969,475602.88
1970,108571.86
1971,321860.34
1972,704816.8
1973,514318.28
1974,351291.9
1975,563005.5
1976,389732.53
1977,539206.9
1978,865775.25
1979,420182.66
1980,583208.75
1981,420182.66
1982,420182.66
1983,446865.38
1984,736951.5
1988,1387713.6
1989,499935.06
1990,337265.72
1991,-30891.453
1992,-6540.94
1993,256719.19
1994,485190.28
1995,191246.44
1996,551936.44
1997,612513.4
1998,37438.258
1999,541908.5
2000,351291.9
2001,514318.28
2002,36160.492
2003,351291.9
2004,690653.56
2005,468034.84
2006,888555.75
2007,2603556.0
2008,420182.66
2009,573925.2
2010,415083.28
2011,12343.221
2012,682963.7
2013,363188.75
2014,343757.9
2019,514318.28
2020,351291.9
2021,536083.5
2022,351291.9
2023,193218.67
2024,3072463.2
2025,512861.78
2026,577134.94
2027,321860.34
2028,312711.72
2029,208658.69
2030,452513.94
2031,704209.06
2032,394879.75
2033,610799.4
2034,888555.75
2035,23769.545
2036,415083.28
2037,-229758.23
2038,1892132.5
2039,583208.75
2040,420182.66
2041,228364.94
2048,1286593.6
2049,340016.28
2050,-133220.84
2051,281335.38
2053,599450.0
2054,309910.12
