league_country,scraping_time,link,no,name,league,club,age,height,nationality,position,foot,consultancy,supplier,club_since,contract_until,international,former_international,international_games,international_goals,market_value,market_value_currency,market_value_latest_correction,highest_market_value,highest_market_value_date,starting_eleven_quote,minutes_quote,penalty_saves_quote,goal_participation_quote,instagram,injury,goals_conceded,clean_sheets,games,points_per_game,goals,assists,own_goals,ins,outs,yellow_cards,yellow_red_cards,red_cards,penalty_goals,minutes_per_goal,minutes
Griechenland,20230420231339,https://www.transfermarkt.ch/vasilios-triantafyllakis/profil/spieler/737199,11,Vasilios Triantafyllakis,Super League 2,PS Kalamata,2.Liga,24,"1,70 m",Griechenland,Offensives Mittelfeld,,Zafi Agent,,01.07.2022,30.06.2023,,,,,200 Tsd. €Letzte Änderung: 27.02.2023,Tsd. €,Letzte Änderung: 27.02.2023,250 Tsd. €,27.06.2022,0,5,,0,,,,,,,,,,,,,,,,,
Griechenland,20230420231405,https://www.transfermarkt.ch/florenc-keri/profil/spieler/99050,23,Florenc Keri,Super League 2,Iraklis Larisas,2.Liga,32,"1,75 m",Albanien,Linksaußen,links,,,01.02.2023,30.06.2023,,,,,125 Tsd. €Letzte Änderung: 27.02.2023,Tsd. €,Letzte Änderung: 27.02.2023,125 Tsd. €,27.02.2023,84,75,,43,,,,,,,,,,,,,,,,,
Griechenland,20230420231431,https://www.transfermarkt.ch/konstantinos-iliopoulos/profil/spieler/99362,,Konstantinos Iliopoulos,,AO Diavolitsiou,34,"1,84 m",Griechenland,Rechtsaußen,rechts,,,27.08.2021,30.06.2023,,,,,,,,300 Tsd. €,29.01.2010,,,,,,,,,,,,,,,,,,,,,
Griechenland,20230420231519,https://www.transfermarkt.ch/daoud-bousbiba/profil/spieler/288395,10,Daoud Bousbiba,,GAS Ialysos,28,"1,76 m",Niederlande,Rechtsaußen,rechts,,Nike,10.01.2023,30.06.2023,,,,,,,,150 Tsd. €,28.06.2021,,,,,,,,,,,,,,,,,,,,,
Griechenland,20230420231605,https://www.transfermarkt.ch/marko-markovski/profil/spieler/36119,15,Marko Markovski,Super League 2,PS Kalamata,2.Liga,36,"1,91 m",Serbien,Mittelstürmer,beidfüßig,ohne Berater,,26.09.2020,30.06.2023,,Serb.-Mont. U19,7,2,50 Tsd. €Letzte Änderung: 27.02.2023,Tsd. €,Letzte Änderung: 27.02.2023,"1,50 Mio. €",26.02.2012,0,9,,4,,,,,,,,,,,,,,,,,
Griechenland,20230420231623,https://www.transfermarkt.ch/vangelis-alexopoulos/profil/spieler/710314,9,Vangelis Alexopoulos,Super League 2,Panachaiki,2.Liga,27,"1,84 m",Griechenland,Mittelstürmer,rechts,,,30.08.2021,30.06.2023,,,,,175 Tsd. €Letzte Änderung: 27.02.2023,Tsd. €,Letzte Änderung: 27.02.2023,175 Tsd. €,27.02.2023,53,62,,15,,,,,,,,,,,,,,,,,
Griechenland,20230420231646,https://www.transfermarkt.ch/felype-hebert/profil/spieler/735081,7,Felype Hebert,Super League 2,GS Ilioupolis,2.Liga,25,"1,80 m",Brasilien,Mittelstürmer,rechts,Bridge Sports,,31.08.2022,30.06.2023,,,,,200 Tsd. €Letzte Änderung: 27.02.2023,Tsd. €,Letzte Änderung: 27.02.2023,200 Tsd. €,27.06.2022,63,58,,9,,,,,,,,,,,,,,,,,
Griechenland,20230420231715,https://www.transfermarkt.ch/marcos-pinto/profil/spieler/213914,,Marcos Pinto,B Nacional,Atlanta,2.Liga,29,"1,73 m",Argentinien,Abwehr,links,IMSPORTS90,,01.01.2023,31.12.2023,,Argentinien U17,10,1,200 Tsd. €Letzte Änderung: 12.11.2022,Tsd. €,Letzte Änderung: 12.11.2022,300 Tsd. €,14.07.2015,70,64,,0,,,,,7,"0,86",-,-,-,-,3,2,-,-,-,-,576'
Griechenland,20230420231732,https://www.transfermarkt.ch/zacharias-kavousakis/profil/spieler/79285,,Zacharias Kavousakis,,Olymp. Volou,34,"1,85 m",Griechenland,Torwart,links,SG Agency,,29.07.2022,30.06.2023,,,,,,,,400 Tsd. €,26.02.2012,,,,,,,,,,,,,,,,,,,,,
Griechenland,20230420231818,https://www.transfermarkt.ch/stefanos-gounaridis/profil/spieler/165354,1,Stefanos Gounaridis,Super League 2,Makedonikos,2.Liga,32,"1,91 m",Griechenland,Torwart,rechts,BELLATORsports,,29.07.2021,30.06.2023,,,,,100 Tsd. €Letzte Änderung: 27.02.2023,Tsd. €,Letzte Änderung: 27.02.2023,400 Tsd. €,10.02.2013,84,84,0,,,,,,,,,,,,,,,,,,
Griechenland,20230420231840,https://www.transfermarkt.ch/konstantinos-tentzeris/profil/spieler/736776,30,Konstantinos Tentzeris,Super League 2,Almopos,2.Liga,23,"1,85 m",Griechenland,Torwart,rechts,SG Agency,,24.09.2022,30.06.2023,,,,,25 Tsd. €Letzte Änderung: 27.02.2023,Tsd. €,Letzte Änderung: 27.02.2023,25 Tsd. €,27.02.2023,0,0,0,,,,,,,,,,,,,,,,,,
Griechenland,20230420231904,https://www.transfermarkt.ch/christos-giannakidis/profil/spieler/556103,,Christos Giannakidis,,Vereinslos,Panserraikos,22,"1,88 m",Griechenland,Torwart,,,,01.07.2022,-,,,,,25 Tsd. €Letzte Änderung: 27.06.2022,Tsd. €,Letzte Änderung: 27.06.2022,25 Tsd. €,28.12.2021,,,,,,,,,,,,,,,,,,,,,
Griechenland,20230420231932,https://www.transfermarkt.ch/tryfon-kasmeridis/profil/spieler/241357,,Tryfon Kasmeridis,,Paniliakos,27,"1,90 m",Griechenland,Innenverteidiger,links,SG Agency,,21.07.2022,30.06.2023,,,,,,,,100 Tsd. €,28.06.2021,,,,,,,,,,,,,,,,,,,,,
Griechenland,20230420232018,https://www.transfermarkt.ch/athanasios-giannarakis/profil/spieler/390541,5,Athanasios Giannarakis,Super League 2,Diagoras,2.Liga,24,"1,86 m",Griechenland,Innenverteidiger,rechts,SG Agency,,27.01.2023,30.06.2023,,Griechenland U17,7,0,125 Tsd. €Letzte Änderung: 27.02.2023,Tsd. €,Letzte Änderung: 27.02.2023,150 Tsd. €,28.12.2021,33,34,,4,,,,,,,,,,,,,,,,,
Griechenland,20230420232035,https://www.transfermarkt.ch/isidoros-koutsidis/profil/spieler/878419,67,Isidoros Koutsidis,Super League 2,Olympiakos B,2.Liga,18,"1,93 m",Griechenland,Innenverteidiger,beidfüßig,Prosport International,,01.07.2021,30.06.2024,,,,,75 Tsd. €Letzte Änderung: 27.02.2023,Tsd. €,Letzte Änderung: 27.02.2023,75 Tsd. €,28.06.2021,11,12,,0,,,,,4,"1,75",-,-,-,2,-,-,-,-,-,-,204'
Griechenland,20230420232056,https://www.transfermarkt.ch/cyril-kali/profil/spieler/40417,,Cyril Kali,,Karriereende,PAE Veria,39,"1,79 m",Saint-Martin,Innenverteidiger,links,ES SPORT,,05.07.2021,-,,Saint-Martin,4,0,,,,500 Tsd. €,16.02.2009,,,,,,,,,,,,,,,,,,,,,
Griechenland,20230420232122,https://www.transfermarkt.ch/athanasios-gerolymos/profil/spieler/590201,,Athanasios Gerolymos,,AO Nea Ionia,27,,Griechenland,Linker Verteidiger,links,,,21.09.2022,30.06.2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Griechenland,20230420232215,https://www.transfermarkt.ch/alexandros-zeris/profil/spieler/160518,2,Alexandros Zeris,Super League 2,Panserraikos,2.Liga,29,"1,75 m",Griechenland,Rechter Verteidiger,rechts,Familienangehörige,,17.08.2019,30.06.2023,,,,,250 Tsd. €Letzte Änderung: 27.02.2023,Tsd. €,Letzte Änderung: 27.02.2023,250 Tsd. €,07.06.2015,72,74,,6,,,,,,,,,,,,,,,,,
Griechenland,20230420232237,https://www.transfermarkt.ch/giannis-tsopelas/profil/spieler/152569,,Giannis Tsopelas,,Erani Filiatron,31,"1,77 m",Griechenland,Rechter Verteidiger,rechts,,,22.09.2021,-,,,,,,,,200 Tsd. €,07.06.2015,,,,,,,,,,,,,,,,,,,,,
