league_country,scraping_time,link,no,name,league,club,league_level,age,height,nationality,position,foot,consultancy,supplier,club_since,contract_until,international,former_international,international_games,international_goals,market_value,market_value_currency,market_value_latest_correction,highest_market_value,highest_market_value_date,starting_eleven_quote,minutes_quote,penalty_saves_quote,goal_participation_quote,instagram,injury,goals_conceded,clean_sheets,games,points_per_game,goals,assists,own_goals,ins,outs,yellow_cards,yellow_red_cards,red_cards,penalty_goals,minutes_per_goal,minutes
Deutschland,20230421095930,https://www.transfermarkt.ch/baris-ekincier/profil/spieler/383223,17,Baris Ekincier,3. Liga,Waldh. Mannheim,3.Liga,24,"1,81 m",Türkei,Rechtsaußen,beidfüßig,,,31.08.2021,30.06.2023,,Aserbaid. U21,12,4,150 Tsd. €Letzte Änderung: 08.12.2022,Tsd. €,Letzte Änderung: 08.12.2022,150 Tsd. €,05.10.2022,22,27,,6,,,,,19,"1,53",3,-,-,12,7,2,-,-,-,256',769'
Deutschland,20230421095948,https://www.transfermarkt.ch/dominik-martinovic/profil/spieler/227093,11,Dominik Martinovic,3. Liga,Waldh. Mannheim,3.Liga,26,"1,79 m",Deutschland,Mittelstürmer,rechts,AKA Global GmbH,,27.07.2020,30.06.2023,,Kroatien U19,3,1,350 Tsd. €Letzte Änderung: 08.12.2022,Tsd. €,Letzte Änderung: 08.12.2022,350 Tsd. €,30.12.2021,84,74,,29,,,,,29,"1,55",9,6,-,2,23,4,-,-,-,237',2.136'
Deutschland,20230421100003,https://www.transfermarkt.ch/pascal-sohm/profil/spieler/158312,10,Pascal Sohm,3. Liga,Waldh. Mannheim,3.Liga,31,"1,87 m",Deutschland,Mittelstürmer,beidfüßig,SOCCERNATION GROUP,,13.01.2022,30.06.2023,,,,,250 Tsd. €Letzte Änderung: 08.12.2022,Tsd. €,Letzte Änderung: 08.12.2022,300 Tsd. €,08.06.2018,56,58,,12,,,,,29,"1,76",5,1,-,11,11,2,-,-,-,331',1.657'
Deutschland,20230421100026,https://www.transfermarkt.ch/daniel-keita-ruel/profil/spieler/42230,29,Daniel Keita-Ruel,3. Liga,Waldh. Mannheim,3.Liga,33,"1,85 m",Frankreich,Mittelstürmer,beidfüßig,100and10 Sportmanagement GmbH,Nike,18.08.2022,30.06.2023,,,,,175 Tsd. €Letzte Änderung: 30.03.2023,Tsd. €,Letzte Änderung: 30.03.2023,850 Tsd. €,16.10.2018,14,24,,7,http://www.instagram.com/keita_ruel/?hl=de,,,,23,"1,78",1,2,-,19,3,-,-,-,-,616',616'
Deutschland,20230421100046,https://www.transfermarkt.ch/philipp-kuhn/profil/spieler/124187,22,Philipp Kühn,3. Liga,VfL Osnabrück,3.Liga,30,"1,89 m",Deutschland,Torwart,rechts,B O K S,,01.07.2018,30.06.2023,,,,,300 Tsd. €Letzte Änderung: 08.12.2022,Tsd. €,Letzte Änderung: 08.12.2022,600 Tsd. €,18.11.2020,81,81,0,,,,30,6,26,"1,73",-,,-,-,-,2,-,-,,,2.340'
Deutschland,20230421100110,https://www.transfermarkt.ch/daniel-adamczyk/profil/spieler/457448,1,Daniel Adamczyk,3. Liga,VfL Osnabrück,3.Liga,20,"1,88 m",Deutschland,Torwart,rechts,INGENIUM SPORTS GmbH,,01.07.2022,30.06.2025,,Deutschland U18,1,0,150 Tsd. €Letzte Änderung: 08.12.2022,Tsd. €,Letzte Änderung: 08.12.2022,150 Tsd. €,08.12.2022,19,19,0,,,,13,1,6,"1,50",-,,-,-,-,1,-,-,,,540'
Deutschland,20230421100129,https://www.transfermarkt.ch/laurenz-beckemeyer/profil/spieler/400514,21,Laurenz Beckemeyer,3. Liga,VfL Osnabrück,3.Liga,23,"1,82 m",Deutschland,Torwart,rechts,Players Factory,,01.07.2019,30.06.2023,,,,,50 Tsd. €Letzte Änderung: 08.12.2022,Tsd. €,Letzte Änderung: 08.12.2022,100 Tsd. €,01.07.2019,0,0,0,,,,-,-,-,-,-,,-,-,-,-,-,-,,,-
Deutschland,20230421100150,https://www.transfermarkt.ch/luca-boggemann/profil/spieler/817013,22,Luca Böggemann,A-Jugend Bundesliga,Osnabrück U19,19,"1,95 m",Deutschland,Torwart,rechts,GoalSky,,01.07.2021,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deutschland,20230421100238,https://www.transfermarkt.ch/maxwell-gyamfi/profil/spieler/452078,4,Maxwell Gyamfi,3. Liga,VfL Osnabrück,3.Liga,23,"1,89 m",Deutschland,Innenverteidiger,rechts,DLT Sports Group,,01.07.2022,30.06.2025,,,,,350 Tsd. €Letzte Änderung: 30.03.2023,Tsd. €,Letzte Änderung: 30.03.2023,350 Tsd. €,30.03.2023,97,96,,0,http://www.instagram.com/maxwell.gy/?hl=de,,,,31,"1,74",-,-,-,-,1,9,-,-,-,-,2.753'
Deutschland,20230421100257,https://www.transfermarkt.ch/timo-beermann/profil/spieler/88430,33,Timo Beermann,3. Liga,VfL Osnabrück,3.Liga,32,"1,88 m",Deutschland,Innenverteidiger,links,GoalSky,,15.07.2020,-,,,,,300 Tsd. €Letzte Änderung: 08.12.2022,Tsd. €,Letzte Änderung: 08.12.2022,800 Tsd. €,08.01.2019,84,84,,5,,,,,27,"1,81",1,2,-,-,1,3,-,-,-,2.417',2.417'
