LeagueCountry;League;LeagueLevel;Club;No;Name;Value;ValueLastUpdate;HighestValue;HighestValueDate;ValueCurrency;Age;Height;Nationality;Foot;Position;Consultancy;Supplier;ClubSince;ContractUntil;Injury;International;FormerInternational;InternationalGames;InternationalGoals;StartingElevenQuote;MinutesQuote;TwPenaltySavesQuote;FsGoalParticipationQuote;Games;PointsPerGame;Goals;OwnGoals;Ins;Outs;YellowCards;YellowRedCards;RedCards;Minutes;TwGoalsConceded;TwCleanSheets;FsAssists;FsPenaltyGoals;FsMinutesPerGoal;Instagram;Source;ScrapingTime
Schweiz;Super League;1.Liga;BSC Young Boys;21.0;Ulisses Garcia;2000000.0;2023-03-28;3000000.0;2022-01-03;€;27;183.0;Schweiz;links;Linker Verteidiger;Soccer Mondial AG;Nike;2018-07-01;2024-06-30;;;Schweiz;4.0;0.0;61.0;57.0;;11.0;19;2.00;1;0;2;5;4;0;1;1439;;;6;0;1439;http://www.instagram.com/ulissesgarcia20/;https://www.transfermarkt.ch/ulisses-garcia/profil/spieler/192616;20230422105723
Schweiz;Super League;1.Liga;BSC Young Boys;23.0;Loris Benito;800000.0;2022-11-10;4000000.0;2019-06-04;€;31;184.0;Schweiz;links;Linker Verteidiger;SBE Management AG;;2022-07-04;2025-06-30;OberschenkelverletzungRückkehr unbekannt;;Schweiz;13.0;1.0;32.0;32.0;;5.0;14;2.21;0;0;5;3;0;0;0;815;;;3;0;;http://www.instagram.com/lorisbenito/;https://www.transfermarkt.ch/loris-benito/profil/spieler/119085;20230422105735
Schweiz;Super League;1.Liga;BSC Young Boys;17.0;Kevin Rüegg;1000000.0;2022-11-10;6000000.0;2019-06-04;€;24;173.0;Schweiz;rechts;Rechter Verteidiger;SBE Management AG;Nike;2022-07-16;2023-06-30;unbekannte VerletzungRückkehr unbekannt;;Schweiz U21;17.0;0.0;25.0;22.0;;2.0;9;2.22;0;0;2;6;1;0;0;556;;;1;0;;http://www.instagram.com/kevin.rueegg;https://www.transfermarkt.ch/kevin-ruegg/profil/spieler/290032;20230422105754
Schweiz;Super League;1.Liga;BSC Young Boys;27.0;Lewin Blum;1000000.0;2022-11-10;1000000.0;2022-11-10;€;21;181.0;Schweiz;rechts;Rechter Verteidiger;IFM;;2021-07-01;2027-06-30;;Schweiz U21;;7.0;0.0;68.0;64.0;;5.0;25;2.12;0;0;6;9;7;0;0;1610;;;3;0;;;https://www.transfermarkt.ch/lewin-blum/profil/spieler/507455;20230422105812
Schweiz;Super League;1.Liga;BSC Young Boys;24.0;Quentin Maceiras;500000.0;2022-11-10;1000000.0;2018-07-12;€;27;181.0;Schweiz;rechts;Rechter Verteidiger;Gold Kick SA;;2020-08-11;2024-06-30;;;;;;11.0;13.0;;0.0;6;1.50;0;0;3;1;1;0;0;322;;;0;0;;;https://www.transfermarkt.ch/quentin-maceiras/profil/spieler/274498;20230422105825
Schweiz;Super League;1.Liga;BSC Young Boys;20.0;Cheikh Niasse;2500000.0;2022-11-10;2500000.0;2022-11-10;€;23;188.0;Senegal;rechts;Defensives Mittelfeld;DKN Agency;adidas;2022-02-03;2026-06-30;unbekannte VerletzungRückkehr unbekannt;;;;;68.0;63.0;;2.0;22;2.09;0;0;3;7;6;0;0;1588;;;1;0;;;https://www.transfermarkt.ch/cheikh-niasse/profil/spieler/644032;20230422105847
Schweiz;Super League;1.Liga;BSC Young Boys;14.0;Miguel Chaiwa;100000.0;2023-03-28;100000.0;2023-03-28;€;18;181.0;Sambia;rechts;Defensives Mittelfeld;Guanabara Esportes SA;;2022-07-01;2027-06-30;;Sambia;;1.0;0.0;0.0;3.0;;0.0;;;;;;;;;;;;;;;;;https://www.transfermarkt.ch/miguel-chaiwa/profil/spieler/956604;20230422105907
Schweiz;Super League;1.Liga;BSC Young Boys;29.0;Kastriot Imeri;7000000.0;2023-03-28;8000000.0;2022-06-08;€;22;178.0;Schweiz;rechts;Zentrales Mittelfeld;Footuro AG;adidas;2022-08-16;2026-06-30;;Schweiz U21;;20.0;7.0;48.0;49.0;;10.0;20;2.25;3;0;9;7;0;0;0;1020;;;2;0;340;;https://www.transfermarkt.ch/kastriot-imeri/profil/spieler/469957;20230422105926
Schweiz;Super League;1.Liga;BSC Young Boys;7.0;Filip Ugrinic;2700000.0;2022-11-10;2700000.0;2022-11-10;€;24;184.0;Schweiz;rechts;Linkes Mittelfeld;Soccer Mondial AG;;2022-07-01;2026-06-30;;;Schweiz U21;1.0;0.0;50.0;49.0;;6.0;21;2.14;1;0;7;8;2;0;0;1230;;;3;0;1230;;https://www.transfermarkt.ch/filip-ugrinic/profil/spieler/394236;20230422105942
Schweiz;Super League;1.Liga;BSC Young Boys;32.0;Fabian Rieder;12000000.0;2023-03-28;12000000.0;2023-03-28;€;21;181.0;Schweiz;links;Offensives Mittelfeld;IFM;;2021-01-14;2025-06-30;;Schweiz;;4.0;0.0;89.0;82.0;;14.0;26;2.00;6;0;1;12;7;0;0;2060;;;3;1;343;http://www.instagram.com/fabianriieder/;https://www.transfermarkt.ch/fabian-rieder/profil/spieler/507341;20230422110000
Schweiz;Super League;1.Liga;BSC Young Boys;22.0;Donat Rrudhani;700000.0;2022-11-10;700000.0;2022-11-10;€;23;186.0;Kosovo;links;Linksaußen;IFM;;2022-07-01;2026-06-30;;Kosovo;;8.0;1.0;11.0;17.0;;6.0;17;2.18;0;0;14;3;1;0;0;430;;;4;0;;;https://www.transfermarkt.ch/donat-rrudhani/profil/spieler/534360;20230422110016
Schweiz;Super League;1.Liga;BSC Young Boys;16.0;Christian Fassnacht;3000000.0;2022-11-10;5000000.0;2018-10-19;€;29;185.0;Schweiz;rechts;Rechtsaußen;SEG;;2017-07-01;2024-06-30;;Schweiz;;19.0;4.0;75.0;67.0;;17.0;23;2.09;5;0;2;11;3;0;0;1685;;;6;0;337;http://www.instagram.com/fassnacht16/;https://www.transfermarkt.ch/christian-fassnacht/profil/spieler/250490;20230422110032
Schweiz;Super League;1.Liga;BSC Young Boys;15.0;Meschack Elia;5000000.0;2022-11-10;5000000.0;2021-10-04;€;25;173.0;DR Kongo;rechts;Mittelstürmer;LITCHI AG;;2020-02-14;2024-06-30;;DR Kongo;;29.0;7.0;54.0;55.0;;16.0;23;2.04;7;0;8;9;1;0;1;1389;;;3;0;198;http://www.instagram.com/meschackelialina/;https://www.transfermarkt.ch/meschack-elia/profil/spieler/423678;20230422110049
